Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
35316,682.911,237.7766302,189.2416271,1.256471073,0.605454602,35637,212.0512385,0.76056338,0.990992508,0.951597201,0.891808578,0.00673283,0.002627024,0.79532254,0.999299765,SEKER
35364,683.341,222.2949087,202.8807894,1.09569225,0.408708385,35761,212.1952951,0.79216881,0.988898521,0.951691714,0.9545666,0.00628591,0.003219384,0.911197393,0.998391922,SEKER
35432,681.365,233.7422319,193.2188091,1.209728147,0.562742866,35757,212.399208,0.79064578,0.990910871,0.959060245,0.908689911,0.006596925,0.002774496,0.825717355,0.998893526,SEKER
35481,679.09,237.9018822,190.0844881,1.251558634,0.601326085,35754,212.5460239,0.789010207,0.992364491,0.966832064,0.893418841,0.00670505,0.002635131,0.798197226,0.99899063,SEKER
35555,697.407,238.2386137,190.2546224,1.252209332,0.601877373,36021,212.7675539,0.756087188,0.987063102,0.918624328,0.89308593,0.006700566,0.002629446,0.797602479,0.998765267,SEKER
35634,685.864,235.1230447,193.2178621,1.21688048,0.569814436,36006,213.0037979,0.784285243,0.989668389,0.951915555,0.905924803,0.006598278,0.002741442,0.820699748,0.998693504,SEKER
35690,691.225,238.3892909,190.7619789,1.249668787,0.599717186,36059,213.1711035,0.752572537,0.989766771,0.938679942,0.894214261,0.006679442,0.002634428,0.799619144,0.999259086,SEKER
35730,698.169,242.2163347,187.9909129,1.288447037,0.630575224,36142,213.2905271,0.786294316,0.98860052,0.921131761,0.880578625,0.006779075,0.002514333,0.775418715,0.999085947,SEKER
35781,688.213,240.1784495,189.8509594,1.265089469,0.612516338,36108,213.4426952,0.775706202,0.990943835,0.949328664,0.888683792,0.006712458,0.00258256,0.789758882,0.999115645,SEKER
35842,679.664,232.1107485,196.7334531,1.179823487,0.530660587,36127,213.624558,0.77145932,0.992111163,0.975020092,0.920356163,0.006475943,0.0028662,0.847055467,0.999375935,SEKER
35954,710.093,251.6607689,182.0148219,1.382638877,0.690581428,36380,213.9580674,0.794563536,0.988290269,0.896038386,0.85018443,0.006999521,0.0022558,0.722813565,0.999390135,SEKER
36000,691.429,221.6979749,207.2346239,1.069792155,0.355277139,36450,214.0948939,0.779406352,0.987654321,0.946274601,0.965705231,0.006158277,0.003303827,0.932586592,0.99767382,SEKER
36076,693.745,243.5262185,189.1972144,1.287155412,0.629615417,36427,214.3207638,0.759127159,0.99036429,0.941951431,0.880072647,0.006750366,0.002497935,0.774527865,0.996937733,SEKER
36115,688.089,228.014068,201.8461467,1.129642907,0.465143113,36464,214.4365784,0.784154073,0.990428916,0.958535613,0.940453281,0.006313556,0.003046511,0.884452374,0.999115351,SEKER
36154,679.696,234.9680946,196.1359724,1.197985723,0.550652643,36386,214.5523304,0.784285652,0.993623921,0.983414912,0.913112611,0.00649909,0.002786953,0.833774641,0.998850116,SEKER
36244,701.396,237.5323078,194.5318786,1.221045669,0.573836068,36667,214.8192125,0.745485211,0.988463741,0.925804774,0.904378922,0.0065537,0.002704382,0.817901235,0.99869476,SEKER
36301,713.642,231.5127816,200.1100531,1.156927291,0.502876019,36793,214.9880664,0.767982567,0.986627891,0.895710468,0.928622882,0.006377587,0.002925457,0.862340457,0.997665208,SEKER
36365,690.321,239.1409014,193.8346431,1.233736641,0.585675315,36680,215.1774989,0.784303153,0.991412214,0.958939671,0.899793794,0.006576128,0.002659022,0.809628871,0.998868804,SEKER
36426,696.301,242.005099,191.826017,1.261586425,0.609673317,36779,215.3578967,0.742539139,0.990402132,0.944120243,0.889889914,0.006643746,0.002570028,0.791904059,0.99905541,SEKER
36481,689.428,230.618257,201.7355247,1.143171275,0.484557236,36781,215.5204209,0.781345042,0.991843615,0.964492297,0.934533214,0.006321599,0.002974306,0.873352328,0.998391295,SEKER
36554,698.178,247.4845266,188.2573394,1.314607587,0.649123224,36868,215.7359458,0.789980982,0.991483129,0.942350471,0.871714886,0.006770382,0.002411519,0.759886842,0.998953008,SEKER
36600,693.853,240.8547217,193.6350183,1.243859317,0.594697654,36908,215.8716455,0.770283069,0.991654926,0.955335703,0.896273256,0.00658073,0.002619483,0.803305749,0.99919934,SEKER
36663,698.145,234.7081444,199.0931156,1.17888629,0.529582828,37092,216.0573568,0.772259084,0.988434164,0.94524981,0.920536257,0.006401771,0.002835591,0.847387001,0.998972918,SEKER
36738,690.192,237.9328529,197.0584232,1.2074229,0.560417534,37032,216.2782338,0.746661789,0.99206092,0.969137797,0.908988528,0.006476478,0.002727422,0.826260144,0.99764542,SEKER
36806,692.839,243.312911,192.8988275,1.26134987,0.609479999,37082,216.4783007,0.756624525,0.992557036,0.963526877,0.889711523,0.006610686,0.00255519,0.791586595,0.998467649,SEKER
36863,690.538,236.7542211,198.3587987,1.193565512,0.545937634,37161,216.6458616,0.768459454,0.99198084,0.971461011,0.915066522,0.006422544,0.002777778,0.837346739,0.999428189,SEKER
36911,690.768,229.5186145,204.9146295,1.120069441,0.450449738,37249,216.786865,0.777090044,0.990925931,0.972078313,0.944528467,0.006218163,0.003052826,0.892134024,0.999252058,SEKER
36975,694.805,241.367873,195.1891714,1.236584342,0.588249946,37252,216.974727,0.777422678,0.992564158,0.962481026,0.898937892,0.006527867,0.00262948,0.808089334,0.999270617,SEKER
37008,691.802,242.2470916,194.6144489,1.244753887,0.595477935,37288,217.0715299,0.79334591,0.992490882,0.971721592,0.896074865,0.006545803,0.002603274,0.802950163,0.999475336,SEKER
37075,699.179,233.450954,202.3679044,1.153596736,0.498561992,37441,217.2679362,0.792200855,0.99022462,0.953046898,0.930679154,0.006296722,0.002914031,0.866163687,0.999203602,SEKER
37138,707.772,252.2560643,187.5939608,1.344691818,0.668552642,37506,217.4524551,0.750353578,0.990188237,0.931626043,0.862030634,0.006792398,0.002313629,0.743096814,0.999236206,SEKER
37191,698.872,234.8888511,201.7636663,1.164178147,0.512017418,37541,217.607564,0.787361067,0.99067686,0.956868897,0.92642781,0.006315744,0.002869793,0.858268488,0.999177418,SEKER
37256,693.806,245.9339799,193.0760709,1.273767271,0.61940354,37502,217.7976411,0.775068653,0.99344035,0.972590418,0.885593935,0.006601191,0.002504613,0.784276618,0.998985888,SEKER
37348,702.527,242.7609094,196.6162257,1.234694179,0.586544285,37715,218.0663902,0.815013639,0.990269124,0.950935749,0.898276377,0.006499971,0.002610544,0.806900449,0.996275288,SEKER
37388,707.703,232.9705016,204.6242163,1.138528498,0.478060848,37784,218.1831343,0.806993309,0.989519373,0.93808032,0.936526869,0.006231157,0.002956851,0.877082576,0.998583507,SEKER
37438,711.096,248.509143,192.0870765,1.293731715,0.634457456,37803,218.3289767,0.791835871,0.990344682,0.93039214,0.878555107,0.006637885,0.002439414,0.771859076,0.998578567,SEKER
37483,699.808,244.4693942,195.4526463,1.250785798,0.600669542,37793,218.4601516,0.774762298,0.991797423,0.961803606,0.893609412,0.006522141,0.002565434,0.798537782,0.998799717,SEKER
37539,701.891,239.5729012,199.7187845,1.199551168,0.552300446,37844,218.6232816,0.785055524,0.991940598,0.957531822,0.912554302,0.006381973,0.002730044,0.832755354,0.998932658,SEKER
37606,700.716,229.643827,209.019182,1.098673456,0.414194161,37942,218.8182952,0.785733687,0.991144378,0.96246055,0.95285947,0.006106574,0.003105223,0.907941169,0.997530862,SEKER
37669,698.99,243.2854619,197.6686076,1.2307744,0.582965947,37937,219.0015078,0.754950297,0.992935656,0.968839931,0.900183291,0.006458506,0.002615987,0.810329958,0.997333367,SEKER
37722,699.287,237.2051864,202.8017111,1.169640952,0.51868862,38031,219.1555204,0.798602731,0.991875049,0.96937913,0.92390695,0.006288245,0.002826325,0.853604053,0.998410257,SEKER
37810,713.014,243.7454539,197.7501503,1.232593015,0.584633117,38222,219.4110006,0.78152129,0.989220868,0.934588487,0.900164483,0.006446587,0.002610941,0.810296097,0.998765309,SEKER
37861,712.99,253.5201789,190.3512936,1.331854248,0.660492197,38226,219.5589269,0.747871605,0.990451525,0.935912111,0.866041227,0.006696077,0.002323563,0.750027408,0.998927189,SEKER
37919,701.737,243.3535229,198.7999406,1.224112654,0.576753438,38208,219.7270359,0.75343745,0.992436139,0.967649302,0.902912903,0.00641772,0.00263114,0.815251711,0.997959936,SEKER
37995,703.86,252.8031217,191.7595894,1.318333662,0.651634264,38262,219.9471221,0.783402062,0.993021797,0.963748561,0.870033252,0.006653589,0.002351685,0.756957859,0.997923027,SEKER
38025,713.907,245.8047776,197.1753898,1.246630109,0.597105708,38428,220.0339376,0.789588438,0.989512855,0.937552953,0.895157286,0.006464294,0.002560344,0.801306567,0.998932892,SEKER
38093,737.757,233.4684923,207.9979309,1.12245584,0.454192353,38859,220.2305927,0.77011564,0.980287707,0.879484851,0.943298989,0.006128908,0.00299337,0.889812983,0.998775779,SEKER
38122,710.41,246.905723,196.8346306,1.254381519,0.603707872,38481,220.314407,0.774837398,0.990670721,0.949221155,0.892301743,0.006476725,0.002532691,0.796202401,0.998741577,SEKER
38171,707.456,233.9457354,208.03934,1.124526426,0.457395792,38570,220.4559518,0.793180118,0.989655172,0.958394987,0.94233798,0.006128887,0.00298118,0.888000868,0.998580443,SEKER
38195,719.457,243.2856909,200.212062,1.21514003,0.568113196,38604,220.5252467,0.778536486,0.989405243,0.927271034,0.906445611,0.006369569,0.002652509,0.821643645,0.998412083,SEKER
38233,709.54,239.6696899,203.3235252,1.178760253,0.529437524,38594,220.6349191,0.783110073,0.990646214,0.954320984,0.920579148,0.00626866,0.002777148,0.847465969,0.998959199,SEKER
38290,708.533,244.9577089,199.238526,1.22946959,0.581762275,38631,220.7993256,0.749799283,0.991172892,0.958462367,0.90137733,0.006397433,0.002605026,0.81248109,0.998920793,SEKER
38354,715.527,253.6098213,192.8160004,1.315294482,0.649588466,38702,220.9837766,0.79630437,0.991008217,0.941387604,0.871353386,0.006612343,0.002351324,0.759256724,0.998646179,SEKER
38426,711.412,246.6966084,198.5557555,1.242455087,0.593467347,38799,221.1911001,0.752094261,0.99038635,0.954097306,0.89661184,0.006420044,0.002559385,0.803912792,0.998825538,SEKER
38495,797.002,250.9540171,195.9506676,1.280699985,0.624752309,39373,221.3896029,0.765429889,0.977700455,0.76154464,0.882191907,0.006519133,0.002435689,0.778262561,0.99672085,SEKER
38550,714.519,238.4852609,206.1382711,1.156918895,0.502865237,38916,221.5477024,0.792036489,0.990595128,0.948869928,0.928978594,0.006186388,0.002842103,0.863001229,0.998422428,SEKER
38591,715.273,254.4732576,193.2214516,1.317003136,0.650741166,38926,221.6654851,0.790734366,0.991393927,0.947877541,0.871075755,0.006594109,0.002341853,0.758772972,0.999306383,SEKER
38628,720.599,251.4163481,196.6785032,1.278311274,0.622924354,39014,221.771723,0.74025526,0.990106116,0.934813072,0.882089509,0.006508656,0.002430646,0.778081902,0.994630867,SEKER
38692,706.244,234.5964057,210.1986918,1.11606977,0.444051364,38959,221.9553659,0.767728878,0.993146641,0.974813423,0.946115799,0.006063176,0.002996796,0.895135106,0.999033232,SEKER
38746,714.422,250.5392244,197.0547139,1.271419594,0.61756174,39096,222.1101965,0.767916601,0.991047678,0.953953265,0.886528635,0.006466196,0.002463767,0.78593302,0.999250642,SEKER
38800,721.457,248.267441,199.3780455,1.245209523,0.595874322,39236,222.2649193,0.774512935,0.988887756,0.936743496,0.895264068,0.006398645,0.002535551,0.801497752,0.998032634,SEKER
38834,713.685,248.8086305,198.8165004,1.251448597,0.601232724,39151,222.3622821,0.772600668,0.991903144,0.958095615,0.893708074,0.006406979,0.002521249,0.798714122,0.999549667,SEKER
38855,727.362,255.8803594,193.4384231,1.322800069,0.65460379,39228,222.4223966,0.789799984,0.990491486,0.922901944,0.869243724,0.006585519,0.002319189,0.755584653,0.99948743,SEKER
38897,708.832,248.9550624,199.0594684,1.250656723,0.600559701,39175,222.542577,0.764079596,0.992903638,0.972835343,0.893906614,0.006400367,0.002520886,0.799069035,0.999361061,SEKER
38945,718.24,241.8780857,205.2648012,1.178370984,0.528988202,39299,222.6798466,0.783917069,0.990992137,0.948685791,0.920628448,0.006210761,0.002752087,0.847556738,0.998736268,SEKER
39023,711.172,248.1913972,200.4316811,1.238284266,0.589773086,39313,222.9027294,0.783594378,0.992623305,0.969574576,0.898108202,0.006360131,0.002552469,0.806598342,0.998798036,SEKER
39082,719.5,247.5161406,201.4585114,1.228620915,0.580975979,39529,223.0711722,0.749328936,0.988691846,0.948691584,0.901238892,0.006333252,0.002577307,0.81223154,0.997924658,SEKER
39122,725.817,245.3724594,203.2058018,1.207507154,0.560502926,39532,223.1852985,0.790774766,0.989628655,0.933204106,0.909577624,0.006271981,0.002648156,0.827331453,0.999008649,SEKER
39159,725.519,257.1827991,194.0830594,1.325117194,0.656127293,39528,223.2908134,0.753927609,0.990664845,0.934854184,0.868218303,0.006567655,0.002302003,0.753803021,0.998877344,SEKER
39208,713.397,251.5902296,198.6111972,1.26674746,0.61384917,39469,223.4304726,0.77639604,0.993387215,0.968103959,0.888072931,0.006416809,0.00246203,0.788673531,0.999050192,SEKER
39263,742.362,259.6170179,193.875323,1.339092639,0.665077521,39768,223.587129,0.781586543,0.987301348,0.895286174,0.861219079,0.006612256,0.002243799,0.741698302,0.993202736,SEKER
39301,729.001,250.5915313,200.0800501,1.25245636,0.602086304,39776,223.6953002,0.764968078,0.988058126,0.929302738,0.892669034,0.006376213,0.002497494,0.796858005,0.998029876,SEKER
39341,732.772,262.0481189,191.55707,1.367989805,0.68237789,39772,223.8091082,0.768138863,0.98916323,0.920698693,0.854076378,0.006660942,0.002186262,0.72944646,0.99787532,SEKER
39408,711.634,247.1699932,203.1125549,1.216911447,0.569844594,39687,223.9996071,0.795590818,0.99296999,0.977869453,0.906257286,0.006272077,0.002609739,0.821302268,0.999452131,SEKER
39452,735.692,261.3192103,192.6265296,1.356610695,0.675749709,39950,224.1246227,0.736429478,0.987534418,0.915981751,0.85766608,0.006623725,0.002210828,0.735591105,0.99791076,SEKER
39515,714.776,238.9512884,210.6437034,1.134386096,0.472120399,39852,224.3035011,0.796207862,0.991543712,0.97192315,0.938699693,0.006047103,0.002896235,0.881157114,0.999572378,SEKER
39621,733.765,256.3900083,197.0049405,1.301439485,0.639993953,40021,224.6041496,0.783891263,0.990005247,0.924743552,0.876025361,0.006471064,0.002350835,0.767420433,0.998751253,SEKER
39686,715.976,239.5991081,211.2604241,1.134140997,0.471764514,40005,224.7883106,0.780452311,0.992025997,0.97285981,0.938185089,0.006037371,0.002885239,0.880191262,0.998260995,SEKER
39754,721.292,252.4577187,201.1918221,1.254811036,0.604068046,40091,224.98081,0.791912351,0.991594123,0.960214957,0.891162335,0.006350499,0.002470671,0.794170307,0.996533665,SEKER
39807,719.325,241.4601844,210.0513829,1.149529135,0.493190378,40140,225.1307321,0.78707292,0.991704036,0.966760737,0.932372071,0.006065772,0.002827632,0.869317678,0.999305998,SEKER
39898,714.231,239.7597897,212.0498822,1.130676363,0.466679744,40185,225.3879131,0.780477308,0.992858032,0.982841753,0.940057185,0.006009319,0.002894823,0.883707512,0.999187196,SEKER
39951,725.181,247.9193354,205.563491,1.206047505,0.559019163,40307,225.5375646,0.761885691,0.991167787,0.954651116,0.90972156,0.006205585,0.002621781,0.827593317,0.998116855,SEKER
40021,719.269,252.3099645,202.1951506,1.247853688,0.598160934,40316,225.7350656,0.782332473,0.992682806,0.972109337,0.894673605,0.006304439,0.002491637,0.80044086,0.99883308,SEKER
40111,740.571,250.5138387,204.0125498,1.227933473,0.580337086,40644,225.9887417,0.760311623,0.986886133,0.919051716,0.902100829,0.006245515,0.00255134,0.813785907,0.999274954,SEKER
40146,732.715,254.082944,201.5371523,1.260725088,0.60896859,40549,226.0873167,0.767257855,0.990061407,0.939684319,0.889816975,0.006328973,0.002447461,0.791774249,0.99820966,SEKER
40242,734.477,247.4112737,207.4393603,1.19269204,0.544994835,40680,226.3574734,0.772695853,0.989233038,0.93741742,0.914903634,0.006148086,0.002657181,0.83704866,0.998341273,SEKER
40310,729.425,255.4046089,201.238656,1.269162764,0.615776332,40674,226.5486395,0.751659581,0.991050794,0.952053544,0.887018603,0.006336011,0.002419505,0.786802003,0.998579805,SEKER
40388,729.945,261.2279958,197.1404288,1.325085866,0.656106772,40719,226.7677198,0.784537685,0.991871117,0.952537178,0.868083526,0.006467961,0.002265652,0.753569009,0.998543642,SEKER
40446,742.366,264.1369026,195.4214614,1.351626892,0.672772802,41006,226.9304885,0.732876712,0.986343462,0.922251341,0.859139659,0.006530606,0.002194767,0.738120954,0.997664131,SEKER
40486,727.273,244.537238,211.0640645,1.15859248,0.505005282,40839,227.0426749,0.789616367,0.991356302,0.961877587,0.92845849,0.006040044,0.002768662,0.862035169,0.998747464,SEKER
40570,737.047,248.7193482,208.3152297,1.193956623,0.546358591,40979,227.2780859,0.750684627,0.990019278,0.938478886,0.913793348,0.006130622,0.002636795,0.835018283,0.996975609,SEKER
40636,783.891,250.0758103,207.9177861,1.202762953,0.555645937,41391,227.4628808,0.756525301,0.98175932,0.831016141,0.909575702,0.006154046,0.00259834,0.827327958,0.995079418,SEKER
40688,732.945,258.7484843,200.4328103,1.290948742,0.632421942,41046,227.6083711,0.798539831,0.991278078,0.951773117,0.879651031,0.006359332,0.002348729,0.773785937,0.998917982,SEKER
40750,727.315,258.1950891,201.0769183,1.2840613,0.627298365,41009,227.7817189,0.781894583,0.993684313,0.968037961,0.88220779,0.006336076,0.002367466,0.778290584,0.999372819,SEKER
40824,736.42,257.1585532,202.3097591,1.271112943,0.617320005,41179,227.9884453,0.749339207,0.991379101,0.945963261,0.886567615,0.0062992,0.00240056,0.786002137,0.999097489,SEKER
40863,737.27,263.7978064,197.7032286,1.334312081,0.662061107,41222,228.0973203,0.809088209,0.991291058,0.944684928,0.864667237,0.006455664,0.002225957,0.74764943,0.997597667,SEKER
40956,733.353,262.4366095,198.9044828,1.319410231,0.652354028,41274,228.3567358,0.747031464,0.992295392,0.956976454,0.87014055,0.00640777,0.002265918,0.757144577,0.998984301,SEKER
41033,730.988,249.9321213,209.3633166,1.193772268,0.54616026,41380,228.5712979,0.759406289,0.991614306,0.964989614,0.914533501,0.006091003,0.002628252,0.836371525,0.998437132,SEKER
41117,734.27,248.8671551,210.5372225,1.182057748,0.533210888,41527,228.8051362,0.775792453,0.990126905,0.958340219,0.919386635,0.006052658,0.002667587,0.845271784,0.999160061,SEKER
41202,738.357,255.7536899,205.5451754,1.244269974,0.595056182,41593,229.0415153,0.759036145,0.99059938,0.949719529,0.895555076,0.006207313,0.002462933,0.802018894,0.997928029,SEKER
41265,732.882,255.7183241,205.6748568,1.24331349,0.594220229,41606,229.2165566,0.774958684,0.991804067,0.965436253,0.89636344,0.006196979,0.002467722,0.803467416,0.998961878,SEKER
41322,738.828,262.9878483,200.3109105,1.312898272,0.647960858,41624,229.3748122,0.742773943,0.99274457,0.951271544,0.872187873,0.006364354,0.002271822,0.760711687,0.998737059,SEKER
41341,739.16,255.2935888,206.6708187,1.235266742,0.587062309,41732,229.4275398,0.744185628,0.990630691,0.950854198,0.898681165,0.006175312,0.002484627,0.807627836,0.997635806,SEKER
41386,736.395,250.5685931,210.7087179,1.189170508,0.541155877,41768,229.5523727,0.772674657,0.990854242,0.959050896,0.916125879,0.006054429,0.002630713,0.839286627,0.998054904,SEKER
41447,731.549,243.1560192,217.1616782,1.119700406,0.449866048,41752,229.7214823,0.794460418,0.992694961,0.973231424,0.944749314,0.005866674,0.002882956,0.892551266,0.999390015,SEKER
41536,734.376,255.6058122,207.072066,1.234380943,0.586260386,41861,229.9679928,0.793110691,0.99223621,0.967826667,0.899697823,0.006153838,0.00248721,0.809456173,0.999177275,SEKER
41619,741.44,261.1093812,203.272934,1.284526061,0.627648022,41975,230.1976468,0.796383467,0.991518761,0.951370062,0.88161385,0.006273802,0.002337891,0.777242981,0.998388864,SEKER
41673,740.349,251.3109893,211.5472593,1.187966179,0.539828839,42010,230.3469374,0.755712317,0.9919781,0.95541409,0.916581237,0.006030547,0.00262555,0.840121163,0.998035528,SEKER
41827,739.449,254.7888488,209.2691484,1.217517492,0.570434011,42226,230.7721613,0.743591111,0.990550845,0.961280491,0.905738859,0.006091492,0.002528806,0.820362881,0.998806158,SEKER
41915,743.837,247.739465,215.6885957,1.148597886,0.491944234,42296,231.014795,0.785189764,0.990992056,0.951971134,0.932490893,0.00591052,0.002756664,0.869539266,0.998750963,SEKER
41980,734.386,253.3075393,211.1406618,1.199709886,0.55246688,42277,231.1938496,0.772941523,0.992974904,0.978145633,0.912700231,0.006034005,0.002582843,0.833021711,0.999384382,SEKER
42041,761.435,274.3009697,195.3078848,1.404454152,0.702158783,42564,231.3617594,0.777759278,0.987712621,0.911207384,0.843459502,0.006524606,0.002037,0.711423932,0.999162295,SEKER
42101,761.563,272.6025663,196.9605551,1.384046497,0.691350982,42573,231.5267977,0.716807982,0.988913161,0.912201125,0.849319949,0.006474967,0.002078273,0.721344376,0.998374156,SEKER
42174,754.05,248.5527663,216.3593157,1.148796231,0.492210166,42734,231.7274359,0.785012285,0.98689568,0.932082532,0.932306807,0.005893507,0.002746559,0.869195982,0.998529068,SEKER
42219,740.738,263.2039537,204.6313396,1.286234818,0.62892866,42512,231.8510305,0.775628307,0.993107828,0.966915578,0.880879741,0.006234254,0.002315425,0.775949117,0.998052771,SEKER
